age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk
28,female,2,own,little,moderate,1567,9,furniture/equipment,good
54,male,2,own,little,unknown,1803,12,education,good
45,female,2,own,unknown,little,866,12,radio/TV,bad
27,male,2,rent,little,unknown,1341,6,furniture/equipment,good
47,male,2,free,little,little,17388,72,car,bad
38,female,2,own,little,moderate,1299,12,radio/TV,bad
31,male,2,rent,unknown,unknown,4399,36,radio/TV,bad
32,male,2,rent,little,unknown,846,12,radio/TV,good
21,female,2,rent,little,unknown,2299,12,education,bad
51,male,2,own,little,little,1349,12,furniture/equipment,bad
40,female,1,own,rich,moderate,2947,18,radio/TV,good
44,male,2,own,little,unknown,756,6,furniture/equipment,good
23,male,3,free,little,little,250,6,radio/TV,good
37,female,2,own,little,unknown,5604,36,radio/TV,bad
27,male,2,own,little,rich,1668,12,repairs,good
31,male,1,rent,little,unknown,2377,42,radio/TV,bad
46,male,2,own,unknown,unknown,702,6,furniture/equipment,good
42,male,1,own,moderate,little,1206,15,radio/TV,good
23,male,1,own,little,moderate,1383,6,business,bad
29,male,1,own,moderate,unknown,1698,6,car,good
32,male,2,own,little,unknown,3077,24,business,bad
30,female,1,rent,little,moderate,3276,24,radio/TV,good
31,male,2,free,moderate,moderate,1354,15,radio/TV,good
37,male,2,own,little,unknown,7833,30,car,bad
33,male,2,own,little,unknown,2100,18,radio/TV,good
24,male,2,own,little,unknown,441,6,car,bad
33,male,2,own,little,moderate,5094,24,business,good
25,female,2,own,little,little,1788,12,vacation/others,bad
30,male,2,own,little,moderate,2161,6,car,bad
35,female,1,own,little,unknown,1831,6,car,bad
38,female,3,free,little,unknown,1658,15,car,bad
59,male,2,own,little,moderate,2328,24,radio/TV,good
29,male,2,own,little,unknown,10119,42,car,bad
36,male,2,rent,little,little,761,6,business,bad
45,female,2,rent,unknown,moderate,741,6,radio/TV,good
33,female,1,own,unknown,moderate,5297,48,furniture/equipment,bad
27,male,1,own,quite rich,unknown,1674,6,car,good
31,female,2,rent,little,moderate,5641,36,car,bad
52,male,2,own,little,unknown,1475,6,furniture/equipment,good
34,male,2,own,unknown,moderate,3136,24,car,good
20,male,2,rent,rich,little,4280,18,business,bad
26,male,1,rent,little,little,1662,6,car,bad
36,male,2,own,rich,moderate,1427,18,radio/TV,good
34,female,3,free,little,little,1106,12,education,bad
36,male,2,own,unknown,unknown,710,6,furniture/equipment,good
41,male,2,rent,unknown,little,924,6,business,bad
30,male,1,own,little,unknown,627,12,radio/TV,good
41,male,1,own,unknown,moderate,806,6,radio/TV,good
31,male,2,own,little,unknown,2036,15,car,good
41,male,2,own,moderate,little,6918,36,furniture/equipment,bad
36,female,1,free,little,moderate,5035,48,furniture/equipment,bad
38,male,2,own,little,little,10260,36,car,bad
33,male,2,own,little,unknown,3261,15,car,bad
75,male,2,own,unknown,moderate,3580,24,radio/TV,good
19,male,3,own,little,rich,2370,18,car,good
19,male,2,own,moderate,little,770,6,radio/TV,bad
29,female,2,own,little,little,646,6,vacation/others,bad
37,male,1,own,unknown,unknown,920,12,radio/TV,good
43,male,3,own,little,moderate,1919,18,furniture/equipment,bad
19,male,2,own,moderate,moderate,1879,12,furniture/equipment,good
29,male,2,own,little,little,1184,6,business,bad
27,male,2,own,quite rich,rich,1021,12,radio/TV,good
19,female,3,own,little,little,953,12,radio/TV,bad
35,female,2,own,little,unknown,2113,15,radio/TV,bad
56,female,2,own,little,moderate,7404,48,furniture/equipment,bad
42,male,2,own,little,unknown,1534,30,radio/TV,bad
49,male,3,own,little,unknown,3280,12,business,bad
50,male,2,own,quite rich,moderate,2058,12,car,bad
21,male,2,rent,quite rich,unknown,503,6,furniture/equipment,good
34,male,1,rent,little,unknown,3637,15,car,bad
38,male,2,own,unknown,unknown,10304,36,car,bad
55,female,1,own,little,little,5924,24,car,bad
27,male,1,own,moderate,moderate,7519,30,car,good
26,male,3,own,little,unknown,4404,36,education,good
33,male,2,own,little,moderate,1243,12,radio/TV,good
63,female,2,rent,little,little,3505,12,car,bad
47,male,2,own,unknown,unknown,250,6,radio/TV,good
45,male,2,own,moderate,moderate,250,6,radio/TV,good
36,female,2,rent,moderate,moderate,2990,18,car,bad
36,male,2,rent,little,unknown,4904,18,car,good
37,male,1,free,little,unknown,1309,12,furniture/equipment,good
56,male,3,own,little,unknown,3456,12,car,good
49,male,2,own,little,rich,1813,12,car,good
43,male,3,own,unknown,moderate,4959,24,vacation/others,bad
37,male,2,free,little,moderate,854,9,radio/TV,bad
41,male,1,rent,little,moderate,2931,24,car,bad
34,male,2,own,quite rich,little,1125,6,business,good
58,male,2,own,little,little,2028,12,car,bad
35,male,2,free,little,moderate,2370,42,radio/TV,bad
28,male,1,own,moderate,unknown,654,6,radio/TV,good
33,male,1,rent,unknown,little,1085,18,radio/TV,good
48,female,2,own,little,moderate,2542,12,car,bad
54,male,2,own,unknown,little,5851,36,furniture/equipment,bad
47,male,2,rent,moderate,unknown,1409,12,furniture/equipment,good
29,male,2,own,little,little,493,6,radio/TV,bad
31,female,3,own,little,unknown,2325,15,furniture/equipment,good
35,male,2,own,little,moderate,1364,12,furniture/equipment,good
44,female,2,own,unknown,rich,4323,72,radio/TV,good
28,male,2,rent,little,moderate,1512,12,radio/TV,good
29,male,1,free,little,unknown,5508,24,business,bad
52,male,1,own,little,moderate,359,6,furniture/equipment,bad
29,male,2,free,little,unknown,2188,18,radio/TV,good
31,male,1,rent,little,little,823,6,furniture/equipment,good
36,female,2,own,unknown,moderate,1736,24,radio/TV,bad
40,male,1,own,rich,unknown,1130,9,furniture/equipment,good
46,male,2,own,little,unknown,4903,42,radio/TV,bad
24,female,2,own,little,unknown,3565,24,furniture/equipment,good
30,male,3,own,unknown,unknown,914,9,furniture/equipment,good
43,male,2,own,little,unknown,7156,48,radio/TV,bad
33,male,2,own,little,unknown,3145,24,radio/TV,good
19,male,2,own,little,unknown,1634,18,radio/TV,bad
32,female,2,rent,little,unknown,250,6,car,bad
33,male,2,free,quite rich,little,10399,48,business,bad
30,male,1,own,little,unknown,1758,18,vacation/others,good
21,female,2,own,little,unknown,1409,12,car,good
31,male,2,own,moderate,moderate,2868,18,radio/TV,good
39,male,1,own,unknown,moderate,2347,12,education,bad
30,male,3,own,little,moderate,2342,12,car,good
36,female,1,own,little,moderate,1633,9,furniture/equipment,good
28,male,2,own,little,little,8565,42,car,bad
24,female,2,own,little,moderate,890,6,education,bad
27,female,2,own,little,little,1071,24,radio/TV,bad
32,male,2,own,little,moderate,6261,36,car,bad
39,male,1,own,little,little,3553,18,furniture/equipment,good
49,male,1,rent,moderate,little,3362,18,furniture/equipment,bad
50,female,3,own,moderate,moderate,2462,9,business,bad
28,female,0,own,little,unknown,3640,18,car,good
31,male,2,own,little,moderate,5144,36,vacation/others,bad
41,male,2,free,moderate,little,1385,24,radio/TV,good
30,female,2,own,little,little,1476,18,radio/TV,bad
35,male,2,own,little,unknown,3737,24,car,good
42,male,2,own,unknown,unknown,2675,12,furniture/equipment,good
33,female,2,own,rich,unknown,6043,24,car,bad
29,male,2,rent,little,unknown,1657,18,car,bad
52,female,1,own,little,moderate,706,6,car,good
20,male,2,own,little,little,1233,6,radio/TV,good
27,male,2,free,little,rich,3223,24,radio/TV,good
48,male,2,rent,unknown,moderate,1598,9,business,bad
39,male,2,own,unknown,moderate,1371,6,furniture/equipment,bad
28,male,0,own,little,little,1314,18,vacation/others,good
27,female,2,own,little,unknown,962,12,furniture/equipment,good
30,male,3,own,rich,unknown,1244,6,radio/TV,good
45,female,2,free,unknown,moderate,250,6,car,bad
39,male,1,rent,quite rich,little,3551,12,car,good
32,female,2,own,little,little,2957,42,radio/TV,good
40,female,2,own,little,moderate,3522,18,education,bad
49,male,2,rent,moderate,moderate,741,12,radio/TV,bad
52,male,1,own,rich,unknown,1604,12,car,good
38,male,3,own,moderate,unknown,1406,12,car,bad
36,female,1,own,little,moderate,3810,30,car,good
20,male,3,own,little,unknown,1780,12,business,bad
45,female,1,own,little,moderate,649,9,radio/TV,bad
44,female,2,own,moderate,unknown,1824,18,radio/TV,good
19,male,2,own,quite rich,unknown,1044,12,radio/TV,good
49,male,3,free,little,little,1408,18,repairs,good
45,male,2,own,little,little,2232,15,furniture/equipment,bad
27,female,2,own,little,moderate,857,9,furniture/equipment,bad
19,male,2,own,little,moderate,1163,15,radio/TV,bad
22,female,1,own,unknown,unknown,765,12,radio/TV,good
45,male,1,own,rich,little,337,6,car,bad
36,male,2,own,little,moderate,5414,18,car,good
36,male,2,own,little,unknown,1947,12,furniture/equipment,good
48,female,2,own,moderate,unknown,2156,12,furniture/equipment,good
32,male,1,own,little,little,10319,60,car,bad
46,male,2,own,little,moderate,1430,6,radio/TV,bad
28,male,1,own,little,unknown,1194,15,business,good
24,male,3,own,rich,unknown,1181,12,radio/TV,good
47,female,1,free,little,unknown,1779,15,furniture/equipment,good
19,male,2,free,little,little,1845,18,car,bad
52,female,2,own,unknown,unknown,705,6,car,good
20,female,2,own,quite rich,rich,6683,72,furniture/equipment,bad
26,female,2,own,little,moderate,2139,18,radio/TV,bad
40,male,2,free,little,rich,6952,24,business,good
25,male,1,free,little,little,1296,6,car,bad
54,male,2,rent,moderate,little,2901,12,car,bad
24,male,0,free,little,little,735,12,furniture/equipment,bad
43,female,2,rent,moderate,moderate,592,15,radio/TV,bad
43,male,2,own,unknown,moderate,5800,24,business,good
34,male,3,rent,rich,unknown,2611,30,radio/TV,good
24,male,1,own,unknown,little,10937,60,car,bad
21,male,2,own,moderate,little,3072,12,business,good
44,male,3,rent,unknown,little,2879,18,car,bad
32,male,3,own,unknown,little,5327,24,car,good
55,male,1,own,little,moderate,2174,24,radio/TV,bad
41,female,2,own,little,little,2670,18,car,bad
35,male,2,own,little,little,2233,12,vacation/others,bad
33,male,2,own,little,moderate,2236,30,furniture/equipment,bad
26,male,3,own,little,moderate,1515,12,furniture/equipment,good
27,male,2,own,quite rich,little,3841,12,car,bad
37,male,1,own,little,unknown,3019,12,car,good
30,female,2,own,little,unknown,2674,15,business,good
51,male,1,rent,quite rich,moderate,5772,24,car,bad
38,male,2,own,quite rich,moderate,1683,18,radio/TV,bad
33,male,2,own,unknown,moderate,2174,24,radio/TV,good
35,male,2,own,unknown,little,2702,15,car,bad
43,male,3,free,unknown,unknown,6443,48,furniture/equipment,bad
38,female,3,own,quite rich,moderate,1641,12,radio/TV,good
25,male,1,free,little,unknown,2205,18,furniture/equipment,good
25,male,2,own,little,unknown,6734,24,car,good
42,female,2,rent,little,moderate,533,6,education,bad
38,male,2,own,little,moderate,4081,24,furniture/equipment,bad
43,female,2,free,little,unknown,3232,12,car,good
33,female,1,own,moderate,unknown,2331,12,car,good
45,female,1,own,little,moderate,2307,24,radio/TV,bad
60,female,2,rent,little,little,2924,24,radio/TV,bad
36,male,3,own,little,little,2101,12,education,bad
47,male,1,rent,little,moderate,1117,6,furniture/equipment,bad
26,male,2,own,little,unknown,1697,18,furniture/equipment,bad
49,male,3,rent,little,unknown,1972,9,car,good
34,male,2,free,unknown,unknown,4070,18,car,bad
26,male,2,own,little,little,1570,6,furniture/equipment,bad
28,male,2,own,unknown,unknown,5429,30,furniture/equipment,good
31,male,2,own,little,unknown,2964,18,vacation/others,good
32,male,3,rent,unknown,unknown,791,9,business,good
23,female,1,rent,moderate,moderate,3668,18,car,good
34,female,2,rent,little,little,3329,12,business,bad
33,male,2,own,little,moderate,5471,18,business,good
31,male,2,own,little,little,1844,12,furniture/equipment,bad
40,male,2,own,little,little,563,6,furniture/equipment,bad
20,male,2,own,little,unknown,4241,24,car,good
25,male,2,rent,little,unknown,316,9,education,good
24,male,1,own,little,moderate,1199,24,radio/TV,bad
34,female,2,own,unknown,unknown,10544,48,furniture/equipment,good
29,male,2,own,moderate,unknown,1268,12,radio/TV,good
29,female,2,own,little,little,1002,6,furniture/equipment,bad
43,male,2,free,little,moderate,1778,15,car,bad
24,male,1,own,little,little,5160,24,car,bad
47,male,2,free,moderate,little,1860,12,furniture/equipment,good
28,male,2,own,little,moderate,749,6,furniture/equipment,good
35,male,3,rent,moderate,unknown,4617,18,car,bad
50,female,2,own,little,unknown,660,6,business,bad
39,male,2,rent,quite rich,little,372,6,radio/TV,good
29,male,2,own,rich,moderate,1660,12,radio/TV,good
49,male,2,own,rich,little,1258,15,radio/TV,good
39,female,2,free,little,unknown,1768,9,business,bad
34,male,2,own,little,rich,2732,24,business,good
37,male,1,free,little,moderate,250,6,radio/TV,good
27,female,2,own,little,moderate,2448,18,radio/TV,bad
47,male,2,own,little,little,852,9,radio/TV,good
19,male,2,own,little,moderate,1009,6,car,good
34,male,2,own,little,moderate,6900,36,car,bad
45,male,2,own,rich,unknown,488,6,radio/TV,good
33,male,2,own,unknown,little,250,12,radio/TV,good
30,female,2,rent,quite rich,little,544,6,repairs,good
47,male,2,rent,moderate,unknown,408,6,radio/TV,good
28,male,2,rent,little,little,3379,24,business,bad
32,male,3,own,little,unknown,3760,24,radio/TV,bad
37,female,2,own,little,unknown,2249,18,furniture/equipment,good
31,female,3,own,rich,little,910,18,radio/TV,bad
29,male,2,free,moderate,moderate,5353,24,business,good
44,female,2,free,little,little,5138,24,car,bad
53,male,2,own,quite rich,unknown,2330,18,radio/TV,good
32,male,3,own,unknown,little,4309,30,radio/TV,good
36,male,2,own,little,unknown,4543,48,furniture/equipment,bad
36,female,2,own,little,moderate,4010,30,radio/TV,bad
27,male,1,free,little,moderate,457,6,car,bad
36,female,2,own,little,moderate,3979,30,business,bad
46,female,1,rent,quite rich,unknown,658,6,radio/TV,good
42,male,2,free,little,unknown,1654,18,radio/TV,good
54,male,1,own,little,moderate,1588,6,business,good
29,female,3,rent,little,little,3281,24,radio/TV,bad
24,female,1,own,moderate,moderate,967,12,radio/TV,good
24,male,2,own,little,unknown,3812,18,car,good
23,male,2,rent,little,unknown,4392,30,radio/TV,bad
24,male,2,own,unknown,unknown,5473,30,car,bad
23,male,2,own,unknown,unknown,1011,12,domestic appliances,good
38,male,3,own,moderate,unknown,2613,12,car,bad
28,male,2,own,little,little,4376,36,radio/TV,bad
32,male,3,rent,unknown,unknown,1429,6,furniture/equipment,bad
33,male,2,rent,moderate,little,1657,12,radio/TV,bad
22,male,2,own,little,little,3026,24,radio/TV,bad
32,male,3,free,rich,unknown,7179,48,education,bad
27,male,2,own,moderate,unknown,975,6,furniture/equipment,good
36,female,2,own,quite rich,little,1570,12,radio/TV,bad
34,male,2,own,little,little,925,6,radio/TV,bad
49,male,2,own,little,unknown,7351,24,car,bad
55,male,2,own,little,little,5005,15,car,bad
32,male,2,rent,little,unknown,1265,6,furniture/equipment,bad
19,male,2,free,unknown,rich,945,6,car,bad
31,male,2,own,little,moderate,3338,24,radio/TV,bad
33,male,2,own,little,unknown,1167,12,business,good
23,male,3,rent,rich,little,814,12,radio/TV,bad
37,female,1,own,moderate,unknown,3623,24,furniture/equipment,good
35,male,1,own,quite rich,unknown,1555,24,radio/TV,good
28,male,2,rent,little,unknown,2893,12,car,bad
25,male,2,own,unknown,little,3786,12,car,bad
40,male,2,rent,little,unknown,1231,6,car,bad
34,male,2,own,little,unknown,2851,30,radio/TV,good
27,male,2,free,unknown,little,575,6,radio/TV,bad
45,male,2,own,unknown,unknown,2190,12,furniture/equipment,good
22,female,2,free,little,unknown,1890,9,car,bad
47,female,1,own,little,moderate,1042,18,radio/TV,good
37,male,2,own,little,moderate,6602,24,business,bad
28,male,3,own,little,rich,1394,12,car,good
30,female,3,free,unknown,little,2581,18,furniture/equipment,good
41,male,2,free,little,little,3822,24,car,good
36,female,1,own,unknown,unknown,2257,18,business,good
31,male,2,own,little,little,329,6,radio/TV,bad
30,male,1,rent,rich,little,1837,18,education,bad
31,male,2,rent,unknown,moderate,2555,12,car,bad
45,male,2,own,quite rich,unknown,3097,24,vacation/others,good
28,female,3,rent,unknown,unknown,2218,18,furniture/equipment,good
36,female,3,own,little,moderate,7300,36,furniture/equipment,bad
44,female,2,own,little,moderate,608,12,furniture/equipment,good
30,male,3,own,little,little,510,6,radio/TV,bad
32,male,1,own,little,unknown,3597,18,education,bad
44,male,2,own,little,unknown,4260,24,furniture/equipment,good
44,female,2,own,rich,rich,909,6,radio/TV,good
45,male,1,own,little,little,3808,12,car,good
36,male,1,own,little,rich,6368,36,car,good
33,male,3,own,little,little,4488,18,car,good
36,male,2,free,unknown,unknown,14145,72,business,bad
41,male,2,own,unknown,unknown,2056,12,radio/TV,good
42,male,2,own,little,little,1131,9,radio/TV,good
37,female,3,own,quite rich,little,2514,36,furniture/equipment,bad
36,male,2,own,unknown,unknown,4235,18,car,good
27,male,2,own,unknown,moderate,7389,36,car,good
37,male,1,free,unknown,unknown,8276,42,car,bad
25,male,2,own,little,unknown,2186,12,furniture/equipment,bad
38,female,1,own,little,little,2658,12,car,good
29,male,2,own,little,moderate,1118,6,radio/TV,bad
32,female,2,free,little,unknown,4672,60,furniture/equipment,bad
27,male,2,own,little,rich,1874,12,education,bad
40,male,3,own,little,moderate,6273,36,furniture/equipment,bad
40,male,1,rent,little,little,1562,18,radio/TV,bad
60,female,3,own,little,moderate,3499,24,car,good
41,male,2,own,little,unknown,1558,12,radio/TV,good
47,male,2,own,little,little,1095,9,radio/TV,bad
26,female,2,rent,little,little,2006,12,radio/TV,bad
46,male,2,own,little,unknown,7189,48,radio/TV,bad
42,male,2,rent,little,unknown,3877,24,car,bad
36,male,1,free,little,unknown,1100,6,furniture/equipment,bad
34,male,3,own,unknown,unknown,1420,12,furniture/equipment,good
49,male,3,free,little,moderate,3331,18,furniture/equipment,bad
19,female,2,free,little,little,3916,24,furniture/equipment,bad
28,female,2,own,little,little,3642,18,business,bad
31,male,2,rent,little,unknown,650,6,radio/TV,bad
22,male,2,own,little,unknown,3823,12,car,bad
35,male,2,own,unknown,unknown,1197,12,radio/TV,good
47,male,1,rent,little,unknown,1279,12,furniture/equipment,good
53,male,1,free,little,little,1359,12,radio/TV,bad
55,male,3,own,unknown,little,5678,36,car,bad
25,male,2,free,little,little,7358,48,car,bad
44,female,2,free,quite rich,moderate,2430,12,car,bad
34,male,1,rent,moderate,unknown,3869,12,car,good
45,male,2,own,little,rich,1860,12,education,good
41,female,2,rent,unknown,unknown,1694,6,business,good
54,male,2,own,little,unknown,5242,48,radio/TV,bad
52,female,2,own,moderate,unknown,1937,12,car,good
42,male,1,own,rich,unknown,4441,24,furniture/equipment,bad
75,female,2,own,little,little,4780,36,furniture/equipment,bad
53,male,2,own,little,little,3011,12,car,bad
19,male,2,free,rich,little,5297,30,furniture/equipment,good
37,male,3,rent,little,unknown,3231,24,radio/TV,bad
31,male,2,own,unknown,unknown,2053,9,car,good
28,male,2,rent,little,moderate,5477,24,business,bad
42,male,3,own,unknown,unknown,3156,24,domestic appliances,good
30,female,3,own,moderate,moderate,1285,6,furniture/equipment,good
27,male,2,rent,rich,moderate,7099,24,car,good
40,female,2,own,unknown,unknown,2231,18,radio/TV,good
40,male,2,own,moderate,unknown,1266,12,radio/TV,good
28,male,3,own,little,unknown,1748,12,car,good
21,male,1,rent,little,moderate,2502,12,car,good
40,male,2,own,unknown,little,2733,24,furniture/equipment,bad
32,male,3,own,little,little,4375,24,business,bad
38,male,3,own,quite rich,unknown,3394,12,business,good
25,male,2,own,little,unknown,1740,12,business,bad
41,male,1,own,little,moderate,3815,12,car,bad
20,female,1,free,little,moderate,2813,24,car,bad
26,male,1,own,little,moderate,933,6,radio/TV,bad
26,female,1,own,little,moderate,6062,48,repairs,bad
33,male,1,free,little,moderate,1646,24,radio/TV,bad
46,male,1,rent,little,moderate,7031,48,radio/TV,bad
31,male,3,own,little,moderate,10830,42,car,bad
38,female,2,rent,little,little,12329,42,car,bad
28,female,2,free,little,unknown,3674,24,furniture/equipment,good
49,male,2,own,unknown,unknown,2691,12,furniture/equipment,good
38,male,2,own,little,unknown,2970,18,furniture/equipment,good
33,male,2,own,little,moderate,3360,18,education,bad
35,female,2,rent,little,little,7216,24,car,bad
39,female,2,own,unknown,unknown,1848,12,car,good
34,female,2,own,unknown,little,1021,6,car,bad
34,female,3,own,little,unknown,2455,24,furniture/equipment,good
53,male,1,free,little,unknown,3588,30,radio/TV,bad
34,male,2,own,little,moderate,2069,12,furniture/equipment,good
43,male,2,own,little,moderate,1714,12,vacation/others,good
31,female,1,own,little,little,4551,24,car,bad
54,female,3,own,little,little,3346,30,radio/TV,bad
35,female,1,free,little,moderate,6822,24,business,bad
42,female,2,own,little,moderate,4623,24,domestic appliances,good
22,male,2,rent,unknown,little,3053,12,car,bad
32,male,2,own,quite rich,moderate,858,6,furniture/equipment,good
52,male,2,own,little,unknown,1933,6,car,good
25,male,3,own,little,unknown,4305,24,car,good
34,female,2,own,rich,moderate,731,12,radio/TV,good
20,male,2,own,little,unknown,484,6,radio/TV,bad
42,female,2,own,little,unknown,2826,12,business,good
30,male,2,free,unknown,moderate,1132,12,car,good
22,male,2,own,little,unknown,16298,72,car,bad
26,female,2,own,unknown,unknown,1779,36,radio/TV,good
20,male,2,own,little,little,833,15,radio/TV,bad
27,male,2,own,little,unknown,11702,42,business,bad
51,male,2,own,little,little,954,6,car,bad
73,male,2,own,moderate,little,1111,12,education,good
57,male,1,rent,little,moderate,4120,24,furniture/equipment,bad
30,male,2,own,unknown,unknown,4456,36,radio/TV,bad
28,male,2,rent,unknown,unknown,1718,12,furniture/equipment,good
28,male,1,own,little,little,535,12,radio/TV,bad
44,female,2,own,little,unknown,3500,18,car,good
34,female,0,free,little,moderate,1161,12,business,bad
30,male,3,free,little,unknown,1836,18,radio/TV,bad
29,female,2,free,moderate,moderate,5830,42,car,bad
52,male,2,rent,unknown,moderate,435,6,radio/TV,good
42,female,2,free,little,unknown,5092,24,car,bad
31,male,2,rent,quite rich,unknown,782,6,radio/TV,good
32,female,2,own,moderate,unknown,7637,36,business,bad
19,male,0,rent,little,little,898,6,education,bad
27,male,2,own,unknown,unknown,3665,24,radio/TV,good
42,male,0,free,moderate,little,1281,12,business,good
42,male,3,own,little,moderate,1080,6,radio/TV,bad
41,female,2,own,little,little,2400,30,radio/TV,bad
38,male,2,free,little,little,9938,48,car,bad
45,female,2,own,little,rich,1287,12,furniture/equipment,good
26,male,3,own,unknown,moderate,1426,18,radio/TV,bad
31,female,3,own,little,unknown,1634,12,radio/TV,bad
39,male,2,own,unknown,moderate,3396,12,business,good
52,male,2,own,unknown,little,4009,48,radio/TV,bad
38,female,2,own,little,moderate,2380,18,furniture/equipment,good
30,male,1,own,little,unknown,11556,60,furniture/equipment,bad
32,male,2,own,quite rich,unknown,4228,18,furniture/equipment,good
31,male,2,free,little,moderate,1357,12,vacation/others,good
58,male,3,own,little,little,1379,9,car,bad
24,male,2,own,little,moderate,4704,36,radio/TV,bad
27,male,2,free,rich,moderate,1397,9,car,good
42,male,2,free,little,moderate,3567,15,car,good
22,male,3,own,unknown,unknown,742,6,furniture/equipment,good
26,female,2,own,unknown,unknown,1402,24,repairs,bad
21,male,2,own,little,little,1307,6,car,bad
39,male,2,own,little,moderate,2270,12,car,good
26,male,3,own,moderate,little,7674,36,car,bad
22,male,2,own,moderate,moderate,2249,18,furniture/equipment,bad
39,female,1,own,moderate,moderate,1566,6,car,good
27,male,2,own,little,unknown,2657,24,vacation/others,good
29,male,1,own,little,unknown,1874,12,furniture/equipment,good
48,male,1,own,unknown,unknown,4981,18,business,good
31,male,2,own,unknown,unknown,979,12,furniture/equipment,good
25,male,1,free,little,unknown,3822,18,car,bad
27,male,3,own,little,moderate,1424,6,car,bad
33,female,2,own,unknown,moderate,2827,18,car,good
54,female,2,own,unknown,little,3197,12,car,bad
38,male,1,own,unknown,moderate,2831,24,repairs,bad
28,female,1,own,unknown,unknown,2291,18,repairs,bad
39,male,2,own,moderate,moderate,1973,9,car,good
34,male,2,own,little,unknown,2424,12,car,bad
34,male,1,rent,little,moderate,3308,12,car,good
19,male,2,own,unknown,moderate,2395,9,car,bad
30,female,2,own,unknown,unknown,1584,6,business,bad
44,female,2,own,little,unknown,3172,48,radio/TV,bad
34,male,2,rent,little,unknown,3809,30,furniture/equipment,bad
19,male,2,free,little,unknown,3213,12,car,good
25,female,2,own,little,moderate,2068,24,vacation/others,good
41,male,1,own,little,moderate,2549,24,education,bad
26,male,1,own,moderate,unknown,1345,12,car,good
27,male,1,rent,unknown,little,642,6,radio/TV,good
41,female,1,own,little,little,7492,36,vacation/others,bad
39,male,2,own,unknown,unknown,3839,60,repairs,good
25,female,2,own,unknown,moderate,2325,18,car,bad
38,male,1,own,moderate,little,2263,24,education,bad
55,male,2,free,little,little,3886,36,radio/TV,bad
37,male,2,own,little,unknown,3175,12,car,good
